DisplayName,Types,Latitude,Longitude,Rating,UserRatingCount,FormattedAddress,WebsiteUri,InternationalPhoneNumber,PriceLevel,EditorialSummary,OpenNow,WeekdayDescriptions
Les Deux Magots,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.854051999999996,2.3331062,4.2,10368.0,"6 Pl. Saint-Germain des Prés, 75006 Paris, France",https://lesdeuxmagots.fr/,+33 1 45 48 55 25,PRICE_LEVEL_EXPENSIVE,"Opened in 1885, this iconic brasserie serves traditional French fare in an airy, charming space.",True,"['Monday: 12:30\u2009–\u20091:00\u202fAM, 7:30\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:30\u2009–\u20091:00\u202fAM, 7:30\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:30\u2009–\u20091:00\u202fAM, 7:30\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 12:30\u2009–\u20091:00\u202fAM, 7:30\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 12:30\u2009–\u20091:00\u202fAM, 7:30\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 12:30\u2009–\u20091:00\u202fAM, 7:30\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 12:30\u2009–\u20091:00\u202fAM, 7:30\u202fAM\u2009–\u200912:00\u202fAM']"
Galerie Vivienne,"['shopping_mall', 'historical_landmark', 'tourist_attraction', 'art_gallery', 'book_store', 'home_goods_store', 'historical_place', 'clothing_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8663533,2.3394854,4.5,5563.0,"4 Rue des Petits Champs, 75002 Paris, France",http://www.galerie-vivienne.com/,,,Covered mall built in 1823 to plans by architect François-Jean Delanno & now housing luxury shops.,True,"['Monday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20098:00\u202fPM']"
Kodawari Ramen (Yokochō),"['ramen_restaurant', 'japanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.854633899999996,2.3381035999999997,4.4,14091.0,"29 Rue Mazarine, 75006 Paris, France",https://www.kodawari-ramen.com/,+33 1 43 29 37 67,PRICE_LEVEL_MODERATE,,True,"['Monday: 11:45\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 11:45\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:45\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:45\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:45\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:45\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:45\u202fAM\u2009–\u200911:00\u202fPM']"
Pizzeria Popolare,"['pizza_restaurant', 'mediterranean_restaurant', 'italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8680344,2.34349,4.7,37149.0,"111 Rue Réaumur, 75002 Paris, France",https://www.circolopopolare.com/fr/restaurants/pizzeriapopolare-paris?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,+33 9 73 03 43 91,PRICE_LEVEL_INEXPENSIVE,,False,"['Monday: 11:45\u202fAM\u2009–\u20092:15\u202fPM, 6:30\u2009–\u200910:30\u202fPM', 'Tuesday: 11:45\u202fAM\u2009–\u20092:15\u202fPM, 6:30\u2009–\u200910:30\u202fPM', 'Wednesday: 11:45\u202fAM\u2009–\u20092:15\u202fPM, 6:30\u2009–\u200910:30\u202fPM', 'Thursday: 11:45\u202fAM\u2009–\u20092:15\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Friday: 11:45\u202fAM\u2009–\u20092:15\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Saturday: 12:00\u2009–\u20093:15\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Sunday: 12:00\u2009–\u20093:15\u202fPM, 6:30\u2009–\u200910:30\u202fPM']"
L'As du Fallafel,"['fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8574067,2.3591962,4.3,13494.0,"34 Rue des Rosiers, 75004 Paris, France",https://las-du-fallafel.shop/,+33 1 48 87 63 60,PRICE_LEVEL_INEXPENSIVE,"Simple Middle Eastern eatery for fast falafels, shawarma & kebabs washed down with Israeli wines.",True,"['Monday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: 11:00\u202fAM\u2009–\u200912:00\u202fAM']"
Starbucks,"['cafe', 'brunch_restaurant', 'cafeteria', 'sandwich_shop', 'breakfast_restaurant', 'bakery', 'wholesaler', 'food_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8709,2.33378,4.0,5627.0,"3 Bd des Capucines, 75002 Paris, France",https://www.starbucks.fr/,+33 1 42 68 11 20,PRICE_LEVEL_MODERATE,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",True,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u200910:00\u202fPM']"
Le Petit Bouillon Pharamond,"['french_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8630418,2.3485454999999997,4.1,6113.0,"24 Rue de la Grande Truanderie, 75001 Paris, France",http://www.petitbouillonpharamond.com/,,PRICE_LEVEL_MODERATE,Traditional French cuisine served in an old-world dining room with flowery walls & etched mirrors.,True,"['Monday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']"
Le Procope,"['french_restaurant', 'diner', 'coffee_shop', 'cafe', 'tea_house', 'food_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.852991300000006,2.3387975,4.4,18750.0,"13 Rue de l'Ancienne Comédie, 75006 Paris, France",https://www.procope.com/,+33 1 40 46 79 00,PRICE_LEVEL_EXPENSIVE,"Traditional coq au vin, snails & steaks at a 1600s brasserie with vintage decor & street tables.",True,"['Monday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']"
Bouillon Julien,"['french_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.870563499999996,2.3532275,4.1,8420.0,"16 Rue du Faubourg Saint-Denis, 75010 Paris, France",https://www.bouillon-julien.com/,+33 1 47 70 12 06,PRICE_LEVEL_MODERATE,"Venerable restaurant with elaborate art nouveau decor, offering a menu of traditional cuisine.",True,"['Monday: 11:45\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 11:45\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 11:45\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 11:45\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 11:45\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 11:45\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 11:45\u202fAM\u2009–\u200912:00\u202fAM']"
Eataly,"['italian_restaurant', 'diner', 'pizza_restaurant', 'meal_takeaway', 'catering_service', 'grocery_store', 'bar', 'food_store', 'market', 'store', 'food_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8585827,2.3546289,4.4,18806.0,"37 Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",https://eataly.fr/,+33 1 83 65 81 00,PRICE_LEVEL_EXPENSIVE,"Food center with Italian restaurants, cooking classes & a store selling cheeses, meats & wine.",True,"['Monday: 10:00\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:30\u202fPM']"
Louvre Museum,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",48.8606111,2.337644,4.7,345641.0,"75001 Paris, France",https://www.louvre.fr/,+33 1 40 20 53 17,,"Former historic palace housing huge art collection, from Roman sculptures to da Vinci's ""Mona Lisa.""",True,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20096:00\u202fPM']"
Musée d'Orsay,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",48.859961399999996,2.3265614,4.8,103170.0,"Esplanade Valéry Giscard d'Estaing, 75007 Paris, France",https://www.musee-orsay.fr/fr,+33 1 40 49 48 14,,"Major 19th- & 20th-century European art collections housed in a monumental, former railway station.",True,"['Monday: Closed', 'Tuesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20099:45\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20096:00\u202fPM']"
The Centre Pompidou,"['cultural_center', 'cultural_landmark', 'library', 'performing_arts_theater', 'tourist_attraction', 'movie_theater', 'event_venue', 'museum', 'point_of_interest', 'establishment']",48.860642,2.352245,4.4,57100.0,"Place Georges-Pompidou, 75004 Paris, France",https://www.centrepompidou.fr/fr/,+33 1 44 78 12 33,,"Architecturally avant-garde complex housing National Museum of Modern Art, library and music center.",True,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']"
Musée de l'Orangerie,"['museum', 'point_of_interest', 'establishment']",48.8637884,2.3226724,4.6,20682.0,"Jardin des Tuileries, 75001 Paris, France",https://www.musee-orangerie.fr/fr,+33 1 44 50 43 00,,"Museum with 20th-century European art collection, showcasing 8 of Monet's water lilies murals.",True,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20096:00\u202fPM']"
Grand Palais,"['museum', 'monument', 'tourist_attraction', 'art_gallery', 'point_of_interest', 'establishment']",48.866109099999996,2.3124544,4.5,24908.0,"75008 Paris, France",https://www.grandpalais.fr/,+33 1 40 13 48 00,,"Art nouveau hall with domed glass roof, built in 1900, hosting exhibitions and cultural events.",True,"['Monday: Closed', 'Tuesday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20098:00\u202fPM']"
Petit Palais,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",48.8660479,2.3145896,4.7,21757.0,"Av. Winston Churchill, 75008 Paris, France",https://www.petitpalais.paris.fr/,+33 1 53 43 40 00,,"Richly decorated 1900 building, housing eclectic fine arts dating from Renaissance to 20th century.",True,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']"
Hôtel des Invalides,"['historical_landmark', 'historical_place', 'tourist_attraction', 'museum', 'point_of_interest', 'establishment']",48.856528999999995,2.3127059,4.7,40070.0,"75007 Paris, France",,,,"Series of army museums including a church & the tombs of many famed officers, including Napoleon.",,[]
Musée National Picasso-Paris,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",48.859877499999996,2.362285,4.4,13741.0,"5 Rue de Thorigny, 75003 Paris, France",https://www.museepicassoparis.fr/,+33 1 85 56 00 36,,"17th-century building holding 5,000 artworks by Pablo Picasso, his own art collection & archive.",True,"['Monday: Closed', 'Tuesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20096:00\u202fPM']"
Bourse de Commerce - Pinault Collection,"['museum', 'point_of_interest', 'establishment']",48.8628797,2.3428392,4.4,7523.0,"2 Rue de Viarmes, 75001 Paris, France",https://www.pinaultcollection.com/fr/boursedecommerce,+33 1 55 04 60 60,,Display of contemporary art from François Pinault's collection in a space within the Stock Exchange.,True,"['Monday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20097:00\u202fPM']"
Musée Rodin,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",48.8553072,2.3158354,4.7,18652.0,"77 Rue de Varenne, 75007 Paris, France",https://www.musee-rodin.fr/,+33 1 44 18 61 10,,"18th-century mansion & sculpture garden displaying Rodin's influential works, such as The Thinker.",True,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:30\u202fPM']"
Musée Grévin,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",48.871837799999994,2.3422204,4.4,30746.0,"10 Bd Montmartre, 75009 Paris, France",https://www.grevin-paris.com/,+33 1 47 70 85 05,,Family-friendly wax museum with lifelike models of French historic and contemporary figures.,True,"['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20097:00\u202fPM']"
Carnavalet Museum,"['museum', 'point_of_interest', 'establishment']",48.8570669,2.3628579,4.7,9869.0,"23 Rue de Sévigné, 75003 Paris, France",https://www.carnavalet.paris.fr/,+33 1 44 59 58 58,,Museum in neighboring mansions with Paris art & history exhibits focused on 16th & 17th centuries.,True,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']"
